year,season1,season2,season3, season4
1946,7.5,8.9,11.1,13.4
1947,15.5,15.7,15.6,16.7
1948,18.0,17.4,17.9,18.8
1949,17.6,17.0,16.1,15.7
1950,15.9,17.9,20.3,20.4
1951,20.2,20.5,20.9,20.9
1952,21.1,21.4,18.2,20.1
1953,21.4,21.3,21.9,21.3
1954,20.4,20.4,20.7,20.7
1955,20.9,23.0,24.9,26.5
1956,25.6,26.1,27.0,27.2
1957,28.1,28.0,29.1,28.3
1958,25.7,24.5,24.4,25.5
1959,27.0,28.7,29.1,29.0
1960,29.6,31.2,30.6,29.8
1961,27.6,27.7,29.0,30.3
1962,31.0,32.1,33.5,33.2
1963,33.2,33.8,35.5,36.8
1964,37.9,39.0,41.0,41.6
1965,43.7,44.4,46.6,48.3
1966,50.2,52.1,54.0,56.0
1967,53.9,55.6,55.4,56.2
1968,57.9,57.3,58.8,60.4
1969,63.1,83.5,64.8,65.7
1970,64.8,65.6,67.2,62.1